Variable / Field Name,Form Name,Section Header,Field Type,Field Label,Choices Calculations OR Slider Labels,Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
subj_id,demographics,,text,Mã đối tượng,,"SA-01-XXX",,,,,Y,,,y,,,,
age,demographics,,text,Tuổi,,,[CẦN XÁC NHẬN] 18-70 vs 18-75,integer,18,70,N,,,y,,,,
gender,demographics,,radio,Giới tính,"1, Nam | 2, Nữ",,,,,,N,,,y,,,,
group,randomization,,radio,Nhóm phân bổ,"1, Smart A | 2, Đối chứng",,,,,,N,,,y,,,,
wound_type,baseline_es,,radio,Loại tổn thương,"1, Vết thương ngoại khoa hở | 2, Bỏng II | 3, Bỏng III | 4, Hỗn hợp",Precure early-signal,,,,,N,,,y,,,,
tbsa_pct,baseline_es,,text,% TBSA (nếu bỏng),,Chỉ khi bỏng; inclusion <20,number,0,19.9,N,"[wound_type] = '2' or [wound_type] = '3' or [wound_type] = '4'",n,,,,
wound_site,baseline_es,,text,Vị trí giải phẫu,,,,,,,N,,,y,,,,
comorbid_dm,baseline_es,,yesno,Đái tháo đường,,,,,,,N,,,n,,,,
comorbid_smoke,baseline_es,,radio,Hút thuốc,"0, Không | 1, Cũ | 2, Hiện tại",,,,,,N,,,n,,,,
visit_code,visit_es,,radio,Mã thăm,"D0, D0 | D3, D3 | D7, D7 | D14, D14 | D21, D21",Repeating instrument,,,,,N,,,y,,,,
visit_date,visit_es,,text,Ngày thăm,,,date_ymd,,,N,,,y,,,,
pct_epith,visit_es,,text,% diện tích đã biểu mô (ImageJ),,,number,0,100,N,,,y,,,,
area_open_cm2,visit_es,,text,Diện tích hở còn lại (cm2),,,number,0,,N,,,n,,,,
photo_id,visit_es,,text,ID ảnh chuẩn hóa,,,,,,,N,,,n,,,,
vas_dress,visit_es,,text,VAS đau rát khi thay băng,,,number,0,10,N,,,y,,,,
culture_done,visit_es,,yesno,Có cấy định lượng,,,,,,,N,,,n,,,,
culture_cfu,visit_es,,text,Kết quả cấy,,,number,0,,N,[culture_done] = '1',n,,,,
culture_unit,visit_es,,radio,Đơn vị cấy,"1, CFU/cm2 | 2, log10",,,,,N,[culture_done] = '1',n,,,,
clin_infection,visit_es,,yesno,Nhiễm trùng lâm sàng,,,,,,,N,,,n,,,,
adherence,visit_es,,radio,Tuân thủ thay băng kể từ visit trước,"0, Không | 1, Một phần | 2, Đầy đủ",,,,,,N,,,y,,,,
ae_local,visit_es,,yesno,AE tại chỗ mới,,,,,,,N,,,n,,,,
primary_out,outcome_d21,,yesno,Biểu mô hóa hoàn toàn 100% tại D21 (ImageJ),Primary endpoint,,,,,N,,,y,,,,
ae_occur,safety,,yesno,Xuất hiện biến cố bất lợi,,,,,,,N,,,n,,,,
completion,end_study,,yesno,Hoàn thành đề cương,,,,,,,N,,,y,,,,
